what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980185021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980276060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980279914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980283692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980284850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980287546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509980440164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980453688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980461190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509980484295
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509980486987
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509980487957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980492614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980542082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980546790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980560497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980563476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980634103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980659629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980778791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980793803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980877196
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509980996887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509980999293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981003042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981004766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981007276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981008759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981047839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981054744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981087195
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509981093469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981173079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981175899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981181154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981212030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981222951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981293909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981305126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981340799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981352198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981369527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981372128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981373331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981376410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981378502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981401951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981435257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981507769
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509981549059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981559070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981564348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981565624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981593004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981597354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981628475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981641326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981652348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981683739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981686223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981687414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981689767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981691632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981782249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981824399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981830414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981851971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981872047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981872876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981878875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509981911016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509981911996
