what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988522256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1509988527304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509988542374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509988546252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988547604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988564328
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988565696
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988586749
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988597714
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988658041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509988712188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988730785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988730822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1509988783528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509988790850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509988794504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988798140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988819922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509988835381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988836726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509988844438
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988864556
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988899589
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988906242
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509988910203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1509988964792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989009757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989027843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989029010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989054371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989056435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989064506
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989085018
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989097174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1509989104864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1509989106220
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989111909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509989117944
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989119121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509989126078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989176063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989178122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989198193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989297552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989298751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989310346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989316340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989318371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989376527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989625931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989681390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989689128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989695008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989701768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989704972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989713940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989729803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989730701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989742744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989750151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989751159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989761464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989773097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989775824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989781614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509989787710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509989790689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989819187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989821366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989822659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509989828047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509989831610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989836088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989837610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989847165
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989863038
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989872315
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989883497
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989890200
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989898608
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509989903698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509989914806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509989917162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989935637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989936846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989945733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1509989952230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989956340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989957894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989964521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509989976394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509989991570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509989993006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990000908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990007242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990008441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990010591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990018138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509990057343
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990405606
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990407456
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990407460
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1509990410310
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990414808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990427376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990428279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990428343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990432120
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990434134
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990434137
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990436424
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990436427
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990438622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990441747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509990447010
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1509990447464
