what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1508758623477
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1508758623477
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1508758623477
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1508758623477
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1508758623477
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1508758623477
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1508758623477
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1508758623477
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1508758623477
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1508758623477
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1508758623477
started,bundle,com.python.pydev,2.8.2.2013090511,"com.python.pydev",1508758623477
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1508758623477
started,bundle,com.python.pydev.codecompletion,2.8.2.2013090511,"com.python.pydev.codecompletion",1508758623477
started,bundle,com.python.pydev.refactoring,2.8.2.2013090511,"com.python.pydev.refactoring",1508758623477
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1508758623477
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1508758623477
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1508758623477
started,bundle,org.python.pydev.django,2.8.2.2013090511,"org.python.pydev.django",1508758623477
started,bundle,org.python.pydev.jython,2.8.2.2013090511,"org.python.pydev.jython",1508758623477
started,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1508758623477
started,bundle,org.python.pydev.refactoring,2.8.2.2013090511,"org.python.pydev.refactoring",1508758623477
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1508758623477
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1508758623477
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1508758623477
os,sysinfo,,,"linux",1508758623503
arch,sysinfo,,,"x86_64",1508758623503
